ID,shooter_jersey,goalie_jersey,on_goal,on_keeper,goal,practice_ID,blocked
36,15,25,1,1,1,2,0
37,18,25,0,1,0,2,0
38,15,25,1,0,0,2,0
39,15,25,0,0,0,2,0
40,15,25,1,1,1,2,0
41,25,44,1,1,1,4,0
42,14,44,0,0,0,4,0
43,38,44,0,0,0,4,0
45,3,40,0,0,0,5,0
47,17,31,0,0,0,5,0
48,32,31,0,0,0,5,0
49,24,31,0,0,0,5,0
50,0,31,1,1,1,5,0
51,15,31,0,0,0,5,0
52,9,31,1,1,1,5,0
53,6,44,0,0,0,5,0
54,20,44,0,1,0,5,0
55,12,31,0,1,0,5,0
56,0,31,1,1,1,5,0
57,32,31,0,1,0,5,0
58,15,31,0,1,0,5,0
59,15,31,1,1,1,5,0
60,15,31,1,1,1,6,0
61,23,31,0,1,0,6,0
62,12,44,0,0,0,6,0
63,28,40,1,1,1,6,0
64,10,40,0,0,0,6,0
65,38,40,0,0,0,6,0
66,0,40,1,1,1,6,0
67,32,44,0,0,0,6,0
68,14,31,0,0,0,6,0
69,9,31,0,1,0,6,0
70,1,44,0,0,0,6,0
71,15,31,0,1,0,6,0
72,29,44,1,1,1,6,0
73,11,40,0,1,0,6,0
74,15,31,0,1,0,6,0
75,11,40,0,0,0,6,0
76,32,40,0,0,0,6,0
77,48,31,0,1,0,6,0
78,24,31,0,0,0,6,0
79,15,31,0,0,0,6,0
80,15,31,0,0,0,6,0
81,32,40,1,1,1,6,0
82,6,40,0,0,0,6,0
83,10,40,0,0,0,6,0
84,11,44,0,0,0,6,0
85,12,44,0,0,0,6,0
86,2,44,0,0,0,7,0
87,23,44,0,1,0,7,0
88,9,44,0,1,0,7,0
89,14,44,0,0,0,7,0
90,9,40,0,0,0,7,0
91,9,40,1,1,1,7,0
92,15,40,1,1,1,7,0
93,32,40,0,0,0,7,0
94,20,44,0,1,0,7,0
95,15,40,0,1,0,7,0
96,4,40,0,0,0,7,0
97,20,44,1,1,1,7,0
98,29,44,1,0,0,7,0
99,20,44,0,1,0,7,0
100,26,44,0,0,0,7,0
101,2,44,0,0,0,7,0
102,2,44,0,0,0,7,0
103,14,44,0,0,0,7,0
104,6,44,0,1,0,7,0
105,32,31,0,1,0,7,0
106,25,31,0,0,0,7,0
107,48,31,1,1,1,7,0
239,20,8,0,1,0,22,0
240,26,44,0,0,0,22,0
241,29,44,0,1,0,23,0
242,29,44,0,1,0,24,0
243,26,8,0,0,0,24,0
244,32,8,0,1,0,24,0
245,15,8,1,1,1,24,0
246,52,55,0,0,0,24,0
247,25,55,0,0,0,24,0
248,48,44,1,1,1,24,0
249,0,44,0,0,0,24,0
250,13,31,0,1,0,24,0
251,0,8,0,0,0,24,0
252,11,8,0,1,0,24,0
253,25,55,1,1,1,24,0
254,37,55,0,1,0,24,0
256,48,44,0,1,0,24,0
257,15,44,0,1,0,24,0
258,48,44,0,0,0,24,0
259,37,31,1,1,1,24,0
261,15,8,1,1,1,24,0
262,15,8,1,1,1,24,0
263,52,55,0,0,0,24,0
264,20,44,0,0,0,24,0
265,9,44,0,1,0,24,0
266,0,8,0,1,0,24,0
267,9,44,0,1,0,24,0
268,32,31,0,1,0,24,0
269,48,8,0,1,0,24,0
270,35,55,0,1,0,24,0
271,25,55,0,1,0,24,0
272,29,44,0,1,0,24,0
273,48,44,1,1,1,24,0
274,35,31,0,1,0,24,0
275,0,8,0,0,0,24,0
276,9,55,0,0,0,24,0
277,16,55,0,0,0,24,0
278,38,31,1,1,1,24,0
279,48,31,0,1,0,24,0
280,32,44,0,1,0,24,0
281,48,55,1,1,1,24,0
282,32,55,0,0,0,24,0
283,0,31,0,1,0,24,0
284,25,8,1,1,1,24,0
285,15,55,0,1,0,24,0
286,29,55,0,0,0,24,0
287,25,44,1,1,1,24,0
289,35,44,0,1,0,24,0
290,32,31,0,1,0,24,0
291,15,8,0,0,0,24,0
292,15,8,0,1,0,24,0
293,32,44,0,0,0,24,0
294,0,8,0,0,0,26,0
295,15,8,0,1,0,26,0
296,0,44,0,0,0,26,0
297,37,55,0,0,0,26,0
298,25,55,1,1,1,26,0
299,37,55,0,0,0,26,0
300,25,55,0,1,0,26,0
301,26,55,0,1,0,26,0
302,26,55,1,0,0,26,0
303,26,55,0,1,0,26,0
304,26,55,1,1,1,26,0
305,37,55,0,0,0,26,0
306,25,55,1,1,1,26,0
307,37,55,1,1,1,26,0
308,26,55,1,1,1,26,0
309,26,55,0,1,0,26,0
310,13,55,1,1,1,26,0
311,25,55,1,1,1,26,0
312,13,55,0,1,0,26,0
313,37,55,0,0,0,26,0
314,37,55,1,0,0,26,0
315,15,8,0,1,0,26,0
316,48,8,0,1,0,26,0
317,15,44,0,1,0,26,0
318,20,44,0,1,0,26,0
319,20,44,1,1,1,26,0
320,20,8,0,0,0,26,0
321,29,44,0,1,0,26,0
322,29,44,1,1,1,26,0
323,0,44,1,0,0,26,0
324,20,8,0,0,0,26,0
325,26,44,0,0,0,26,0
326,52,44,0,1,0,26,0
327,26,44,0,0,0,26,0
328,10,44,0,0,0,26,0
329,26,44,0,0,0,26,0
330,48,8,1,1,1,26,0
331,29,8,0,1,0,26,0
332,20,55,0,0,0,26,0
333,37,55,1,0,0,26,0
334,29,8,1,1,1,26,0
335,1,8,0,0,0,26,0
336,13,55,0,0,0,26,0
337,29,8,0,0,0,26,0
338,20,8,1,1,1,26,0
339,26,55,0,0,0,26,0
340,10,55,0,0,0,26,0
341,26,55,0,0,0,26,0
342,26,55,1,1,1,26,0
343,48,44,1,1,1,26,0
344,20,44,1,1,1,26,0
345,25,8,1,1,1,27,0
346,14,8,1,1,1,27,0
347,52,8,1,1,1,27,0
348,10,55,0,0,0,27,0
349,25,55,0,0,0,27,0
350,15,55,1,1,1,27,0
351,48,55,1,1,1,27,0
353,48,49,1,0,0,27,0
354,29,49,1,1,1,27,0
355,15,49,1,1,1,27,0
356,29,49,1,1,1,27,0
357,48,49,1,1,1,27,0
358,48,49,1,1,1,27,0
359,26,49,1,1,1,27,0
360,32,49,0,0,0,27,0
361,48,55,0,1,0,27,0
362,29,55,1,1,1,27,0
363,29,55,0,0,0,27,0
