shot_ID,tag,val,val_str
41,field_loc_x,0.558281,NULL
41,field_loc_y,0.471563,NULL
41,goal_loc_x,0.260516,NULL
41,goal_loc_y,0.696563,NULL
41,def_scheme,NULL,man
41,is_transition,1,NULL
41,is_off_dodge,1,NULL
41,is_right_handed,1,NULL
41,shot_quality,2,NULL
42,field_loc_x,0.573464,NULL
42,field_loc_y,0.321562,NULL
42,goal_loc_x,0.280068,NULL
42,goal_loc_y,0.886563,NULL
42,def_scheme,NULL,man
42,is_transition,1,NULL
42,is_off_dodge,0,NULL
42,is_right_handed,1,NULL
42,shot_quality,3,NULL
43,field_loc_x,0.515767,NULL
43,field_loc_y,0.256563,NULL
43,goal_loc_x,0.148092,NULL
43,goal_loc_y,0.171562,NULL
47,field_loc_x,0.537,NULL
47,field_loc_y,0.469063,NULL
47,goal_loc_x,0.847001,NULL
47,goal_loc_y,0.559062,NULL
47,def_scheme,NULL,zone
47,is_transition,1,NULL
47,is_off_dodge,0,NULL
47,is_right_handed,1,NULL
47,shot_quality,2,NULL
48,field_loc_x,0.573441,NULL
48,field_loc_y,0.634063,NULL
48,def_scheme,NULL,zone
48,is_transition,1,NULL
48,is_off_dodge,1,NULL
48,is_right_handed,1,NULL
48,shot_quality,1,NULL
48,goal_loc_x,0.842113,NULL
48,goal_loc_y,0.494063,NULL
49,field_loc_x,0.564331,NULL
49,field_loc_y,0.574063,NULL
49,def_scheme,NULL,man
49,is_transition,0,NULL
49,is_off_dodge,1,NULL
49,is_right_handed,0,NULL
49,shot_quality,2,NULL
49,goal_loc_x,0.143127,NULL
49,goal_loc_y,0.259062,NULL
50,field_loc_x,0.406421,NULL
50,field_loc_y,0.424062,NULL
50,goal_loc_x,0.759017,NULL
50,goal_loc_y,0.164062,NULL
50,def_scheme,NULL,man
50,is_transition,0,NULL
50,is_off_dodge,1,NULL
50,is_right_handed,0,NULL
50,shot_quality,2,NULL
51,field_loc_x,0.637212,NULL
51,field_loc_y,0.534063,NULL
51,goal_loc_x,0.842113,NULL
51,goal_loc_y,0.709063,NULL
51,def_scheme,NULL,man
51,is_transition,0,NULL
51,is_off_dodge,1,NULL
51,is_right_handed,1,NULL
51,shot_quality,3,NULL
52,field_loc_x,0.461082,NULL
52,field_loc_y,0.669062,NULL
52,goal_loc_x,0.719913,NULL
52,goal_loc_y,0.494063,NULL
52,def_scheme,NULL,man
52,is_transition,0,NULL
52,is_off_dodge,1,NULL
52,is_right_handed,1,NULL
52,shot_quality,1,NULL
53,field_loc_x,0.421605,NULL
53,field_loc_y,0.766563,NULL
53,goal_loc_x,0.157791,NULL
53,goal_loc_y,0.156563,NULL
53,def_scheme,NULL,man
53,is_transition,0,NULL
53,is_off_dodge,1,NULL
53,is_right_handed,1,NULL
53,shot_quality,3,NULL
54,field_loc_x,0.373018,NULL
54,field_loc_y,0.556562,NULL
54,goal_loc_x,0.319096,NULL
54,goal_loc_y,0.601562,NULL
54,def_scheme,NULL,man
54,is_transition,0,NULL
54,is_off_dodge,0,NULL
54,is_right_handed,1,NULL
54,shot_quality,2,NULL
54,clean_save,0,NULL
55,field_loc_x,0.403385,NULL
55,field_loc_y,0.631562,NULL
55,def_scheme,NULL,zone
55,is_transition,1,NULL
55,is_off_dodge,1,NULL
55,is_right_handed,1,NULL
55,shot_quality,2,NULL
55,clean_save,0,NULL
55,goal_loc_x,0.372864,NULL
55,goal_loc_y,0.634063,NULL
56,field_loc_x,0.51878,NULL
56,field_loc_y,0.661563,NULL
56,goal_loc_x,0.3582,NULL
56,goal_loc_y,0.166562,NULL
56,def_scheme,NULL,man
56,is_transition,0,NULL
56,is_off_dodge,0,NULL
56,is_right_handed,0,NULL
56,shot_quality,1,NULL
57,field_loc_x,0.612918,NULL
57,field_loc_y,0.456562,NULL
57,goal_loc_x,0.426632,NULL
57,goal_loc_y,0.466563,NULL
57,def_scheme,NULL,man
57,is_transition,0,NULL
57,is_off_dodge,1,NULL
57,is_right_handed,1,NULL
57,shot_quality,3,NULL
57,clean_save,0,NULL
58,field_loc_x,0.388201,NULL
58,field_loc_y,0.421562,NULL
58,def_scheme,NULL,man
58,is_transition,0,NULL
58,is_off_dodge,1,NULL
58,is_right_handed,1,NULL
58,shot_quality,3,NULL
58,clean_save,0,NULL
58,goal_loc_x,0.328872,NULL
58,goal_loc_y,0.486562,NULL
59,field_loc_x,0.488413,NULL
